Country ISO3,Population,In Need,Targeted,revisedRequirements,Need Prevalence,Budget per PIN,Normalized Need Prevalence,Normalized Budget per PIN,Mismatch Score,Targeting Efficiency,Beneficiary-to-Budget Ratio,Severity Quartile
AFG,40411869.0,22887726,16790412,26874340201,0.5663614815736436,1174.1813145176588,0.7432486690417672,0.21232142020122707,0.5309272488405401,0.7335989604209697,0.0006247748549143999,Critical
BFA,23558491.0,5915136,3672506,9143982691,0.25108297471175045,1545.8617842429996,0.3012547659571572,0.3063738405252934,-0.0051190745681361505,0.6208658600579936,0.000401630900243794,High
CAF,,2440338,1772631,8900842880,,3647.381174247174,,0.8381558443898137,,0.7263874922244378,0.00019915316154867345,
CMR,29442318.0,3322058,2100146,4918151548,0.11283275997494491,1480.453245548392,0.10743961305625443,0.28982244254994594,-0.1823828294936915,0.6321822195759376,0.0004270193749629449,Low
COD,103199358.0,21241767,10988449,29152363199,0.20583235605012193,1372.407634402543,0.23781721114785442,0.2624818851050811,-0.024664673957226657,0.517303904143191,0.00037693167188507487,Medium
COL,53216592.0,9053352,1991880,14003594571,0.1701227316473028,1546.7856072535344,0.18775532642064294,0.3066076106508963,-0.11885228423025337,0.22001574665383605,0.00014224062185611813,Medium
GTM,17843132.0,2163953,1000000,725184441,0.12127652252978906,335.12023643766753,0.11927705673575675,0.0,0.11927705673575675,0.4621172456148539,0.0013789595356197115,Low
HND,9892674.0,1640224,796974,1007973686,0.16580188531432452,614.5341648457771,0.18169786391122272,0.07070470035312262,0.1109931635581001,0.48589339017109856,0.0007906694500753068,Medium
HTI,11899555.0,5986456,3941924,8878881497,0.5030823421548116,1483.1615728905383,0.6545366471093096,0.29050777514691273,0.36402887196239686,0.6584737280287368,0.00044396628126323103,Critical
MLI,17907114.0,6431534,4709012,10471030802,0.359160834068516,1628.0767235312758,0.45277081876265896,0.3271780383691365,0.12559278039352245,0.7321755587391748,0.00044971809261611225,High
MMR,,1957173,1132893,8301833520,,4241.747418342681,,0.988558107541861,,0.5788415229517268,0.00013646298703421845,
MOZ,35163992.0,1305029,1097096,4493914370,0.03711265205611468,3443.536021038613,0.0012864014905445745,0.7865735537067364,-0.7852871522161918,0.8406679085292358,0.00024412926230278837,Low
NER,26367847.0,2580329,2132111,10428677837,0.09785891885674246,4041.6078093142387,0.08644754941741506,0.9379134916282312,-0.8514659422108162,0.8262942438735525,0.0002044469139161116,Low
NGA,216798930.0,7847048,3584107,12146842656,0.036195049486637224,1547.9505995120712,0.0,0.3069024077965606,-0.3069024077965606,0.4567458998594121,0.00029506490711227006,Low
SDN,47514529.0,30440770,20934770,40860578631,0.64066235403491,1342.2978009754681,0.8474122320725088,0.2548626988953146,0.5925495331771942,0.687721434116154,0.0005123463911036556,Critical
SLV,6350969.0,818700,407500,451342591,0.1289094624773007,551.2917930866007,0.1299777954349823,0.054701443212976514,0.0752763522220058,0.49774032001954316,0.0009028618351685759,Medium
SOM,12327528.0,5979741,4571657,25634934334,0.48507218965554166,4286.963989577475,0.6292879307361747,1.0,-0.3707120692638253,0.7645242494616405,0.0001783369889087854,Critical
SSD,12394970.0,9290088,5386982,26038709753,0.749504678107329,2802.8485578392797,1.0,0.6244498708839284,0.37555012911607155,0.5798633984952565,0.00020688359949860223,Critical
TCD,18033749.0,7049226,5475571,14713583437,0.3908907681924596,2087.262266382153,0.49725351302447474,0.4433733060808335,0.05388020694364126,0.776762016141914,0.0003721439459969129,High
UKR,,12708866,6016366,18657222917,,1468.047811425504,,0.28668329158704875,,0.4733991215266571,0.0003224684631129125,
VEN,27225775.0,7943720,5125664,5837433795,0.2917720432200736,734.8488862900505,0.358297411781247,0.10114991250218121,0.2571474992790658,0.6452473148600404,0.0008780680312623571,High
YEM,,19540217,10527030,39779457750,,2035.7735919718803,,0.430344280231984,,0.5387365964257204,0.000264634829015486,
